# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : False
# Number of elec   : 34.0 
# Number of bands  : 64   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.5401 eV
# VBM: 0.9415 eV, band 17, k-point [0.5, 0.5, 0.5]
# CBM: 2.4816 eV, band 18, k-point [0.5, 0.5, 0.5]
# Functional: GGA, AEXX = 0.00, HFSCREEN = 0.00
# |----------------- Begin Gvecs and C_nk(Gvecs)-------------------------------|
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 13,	energy : -1.3594,	occupation : 1.0
	0	0	0	   0.00000000        0.00000000
	1	0	0	   0.00000000        0.00000000
	2	0	0	   0.00000000       -0.00000000
	3	0	0	  -0.00000000        0.00000000
	4	0	0	   0.00000000       -0.00000000
	5	0	0	  -0.00000000        0.00000000
	6	0	0	   0.00000000        0.00000000
	7	0	0	   0.00000000       -0.00000000
	-7	0	0	  -0.00000000       -0.00000000
	-6	0	0	  -0.00000000       -0.00000000
	-5	0	0	  -0.00000000       -0.00000000
	-4	0	0	  -0.00000000        0.00000000
	-3	0	0	   0.00000000       -0.00000000
	-2	0	0	  -0.00000000        0.00000000
	-1	0	0	   0.00000000       -0.00000000
	0	1	0	   0.00000000        0.00000000
	1	1	0	   0.24162215       -0.05745764
	2	1	0	   0.03274320       -0.08138852
	3	1	0	   0.03361608       -0.02955728
	4	1	0	   0.00555289       -0.01419217
	5	1	0	   0.00351049       -0.00454064
	6	1	0	   0.00063856       -0.00164732
	7	1	0	   0.00023717       -0.00038454
	-7	1	0	  -0.00006651        0.00044843
	-6	1	0	  -0.00057169        0.00167236
	-5	1	0	  -0.00024584        0.00576282
	-4	1	0	  -0.00488617        0.01444177
	-3	1	0	   0.00657878        0.04460500
	-2	1	0	  -0.02733804        0.08341204
	-1	1	0	   0.14672460        0.20284276
	0	2	0	   0.00000000        0.00000000
	1	2	0	   0.12359484        0.04421140
	2	2	0	   0.00458597       -0.00109054
	3	2	0	   0.02103714        0.00692875
	4	2	0	   0.00066959       -0.00010139
	5	2	0	   0.00215063        0.00071142
	6	2	0	   0.00003705       -0.00000787
	-6	2	0	   0.00002310        0.00003039
	-5	2	0	   0.00209051        0.00087633
	-4	2	0	   0.00044371        0.00051818
	-3	2	0	   0.02042962        0.00859514
	-2	2	0	   0.00278482        0.00384994
	-1	2	0	   0.12227402        0.04783436
	0	3	0	   0.00000000       -0.00000000
	1	3	0	   0.06023307        0.00723999
	2	3	0	   0.00630953       -0.01343177
	3	3	0	   0.01793797       -0.00426564
	4	3	0	   0.00209209       -0.00462633
	5	3	0	   0.00256374       -0.00130945
	6	3	0	   0.00026550       -0.00064647
	-6	3	0	  -0.00021303        0.00066611
	-5	3	0	   0.00110786        0.00268398
	-4	3	0	  -0.00137854        0.00489346
	-3	3	0	   0.01089280        0.01505900
	-2	3	0	  -0.00382341        0.01436250
	-1	3	0	   0.05041094        0.03418173
	0	4	0	  -0.00000000        0.00000000
	1	4	0	   0.02144120        0.00777299
	2	4	0	   0.00059820       -0.00020009
	3	4	0	   0.00718855        0.00241940
	4	4	0	   0.00020416       -0.00004855
	5	4	0	   0.00104192        0.00034287
	-5	4	0	   0.00101164        0.00042592
	-4	4	0	   0.00012397        0.00017139
	-3	4	0	   0.00701419        0.00289767
	-2	4	0	   0.00032615        0.00054613
	-1	4	0	   0.02127828        0.00821987
	0	5	0	   0.00000000        0.00000000
	1	5	0	   0.00808484        0.00178328
	2	5	0	   0.00064120       -0.00137532
	3	5	0	   0.00342753       -0.00011527
	4	5	0	   0.00031286       -0.00066503
	5	5	0	   0.00052720       -0.00012537
	-5	5	0	   0.00032014        0.00044259
	-4	5	0	  -0.00018895        0.00071142
	-3	5	0	   0.00253033        0.00234571
	-2	5	0	  -0.00039518        0.00146742
	-1	5	0	   0.00728708        0.00397150
	0	6	0	   0.00000000       -0.00000000
	1	6	0	   0.00248451        0.00090465
	2	6	0	   0.00003589       -0.00000948
	3	6	0	   0.00098554        0.00034897
	-3	6	0	   0.00097272        0.00038414
	-2	6	0	   0.00002119        0.00003084
	-1	6	0	   0.00246817        0.00094948
	0	7	0	  -0.00000000        0.00000000
	1	7	0	   0.00064221        0.00017542
	-1	7	0	   0.00060051        0.00028981
	0	-7	0	   0.00000000       -0.00000000
	1	-7	0	  -0.00060051       -0.00028981
	-1	-7	0	  -0.00064221       -0.00017542
	0	-6	0	  -0.00000000       -0.00000000
	1	-6	0	  -0.00246817       -0.00094948
	2	-6	0	  -0.00002119       -0.00003084
	3	-6	0	  -0.00097272       -0.00038414
	-3	-6	0	  -0.00098554       -0.00034897
	-2	-6	0	  -0.00003589        0.00000948
	-1	-6	0	  -0.00248451       -0.00090465
	0	-5	0	  -0.00000000       -0.00000000
	1	-5	0	  -0.00728708       -0.00397150
	2	-5	0	   0.00039518       -0.00146742
	3	-5	0	  -0.00253033       -0.00234571
	4	-5	0	   0.00018895       -0.00071142
