# Space group      : Pm-3m (221)
# Atomic species   : ['Cs', 'Pb', 'Br']
# Number of atoms  : 5    
# SOC              : True 
# Number of elec   : 34.0 
# Number of bands  : 48   
# Cell vectors in Å: a=[5.874 0.    0.   ], b=[0.    5.874 0.   ], c=[0.    0.    5.874]
# Band gap (eV)    : 1.7509 eV
# VBM: 0.0286 eV, band 33, k-point [0.5, 0.5, 0.5]
# CBM: 1.7795 eV, band 35, k-point [0.5, 0.5, 0.5]
 
#	Gx	Gy	Gz	Re(C_nk)	Im(C_nk)
n_band : 33,	energy : -2.26,	occupation : 1.0
	0	0	0	   0.00000001       -0.00000000
	1	0	0	   0.03961938        0.03906335
	2	0	0	   0.05702771        0.05622729
	3	0	0	   0.00876243        0.00863952
	4	0	0	   0.00822735        0.00811189
	5	0	0	   0.00118712        0.00117047
	6	0	0	   0.00080759        0.00079626
	7	0	0	   0.00009502        0.00009369
	-7	0	0	  -0.00009520       -0.00009386
	-6	0	0	  -0.00080829       -0.00079695
	-5	0	0	  -0.00118744       -0.00117078
	-4	0	0	  -0.00822815       -0.00811269
	-3	0	0	  -0.00876274       -0.00863979
	-2	0	0	  -0.05702880       -0.05622840
	-1	0	0	  -0.03961961       -0.03906343
	0	1	0	   0.01986777       -0.05431346
	1	1	0	  -0.03438008        0.00837338
	2	1	0	   0.00416377       -0.00401248
	3	1	0	  -0.00584331       -0.00101959
	4	1	0	   0.00081218        0.00025179
	5	1	0	  -0.00068915       -0.00026254
	6	1	0	   0.00010902        0.00006673
	7	1	0	  -0.00005876       -0.00003660
	-7	1	0	   0.00005058        0.00005431
	-6	1	0	  -0.00006826       -0.00018021
	-5	1	0	   0.00050246        0.00067357
	-4	1	0	  -0.00033340       -0.00157747
	-3	1	0	   0.00344034        0.00623996
	-2	1	0	   0.00133340       -0.01118178
	-1	1	0	   0.00976242        0.04483068
	0	2	0	   0.02859735       -0.07817814
	1	2	0	   0.00545085        0.00126966
	2	2	0	   0.02722547       -0.00698697
	3	2	0	   0.00354587        0.00291496
	4	2	0	   0.00532817        0.00142785
	5	2	0	   0.00070519        0.00057749
	6	2	0	   0.00056815        0.00026073
